timestamp,open,high,low,close,volume,turnover
2024-06-22 00:00:00,64108.3,64140.1,64108.3,64140.1,41.388,2653963.9019
2024-06-22 00:03:00,64140.1,64141.3,64117.5,64117.6,62.09,3982319.9058
2024-06-22 00:06:00,64117.6,64135.5,64108.0,64132.5,98.156,6293600.3537
2024-06-22 00:09:00,64132.5,64136.0,64066.7,64072.6,34.878,2235600.3512
2024-06-22 00:12:00,64072.6,64074.5,64062.7,64069.7,32.454,2079344.1283
2024-06-22 00:15:00,64069.7,64105.5,64057.1,64102.4,42.212,2705571.8728
2024-06-22 00:18:00,64102.4,64119.7,64085.4,64085.5,14.631,937964.6965
2024-06-22 00:21:00,64085.5,64107.1,64084.4,64106.9,34.692,2223699.1633
2024-06-22 00:24:00,64106.9,64118.8,64065.3,64065.4,20.495,1313756.6097
2024-06-22 00:27:00,64065.4,64065.4,64018.0,64030.1,92.544,5926183.5102
2024-06-22 00:30:00,64030.1,64051.8,64011.1,64051.7,40.161,2571637.969
2024-06-22 00:33:00,64051.7,64073.2,64050.7,64053.2,33.047,2117009.8641
2024-06-22 00:36:00,64053.2,64053.2,63947.2,63957.7,329.087,21057488.4087
2024-06-22 00:39:00,63957.7,63965.1,63904.1,63906.7,180.648,11550368.1365
2024-06-22 00:42:00,63906.7,63952.8,63906.7,63949.9,67.56,4319284.863
2024-06-22 00:45:00,63949.9,64014.6,63931.0,63965.2,56.054,3586012.9184
2024-06-22 00:48:00,63965.2,63989.4,63939.4,63953.5,111.419,7126143.7331
2024-06-22 00:51:00,63953.5,63961.7,63940.8,63948.8,49.067,3138239.6496
2024-06-22 00:54:00,63948.8,64001.5,63947.1,64001.5,20.606,1318194.3468
2024-06-22 00:57:00,64001.5,64019.8,63996.2,64019.8,30.91,1978524.7625
2024-06-22 01:00:00,64019.8,64029.0,64008.6,64028.9,32.257,2064967.7758
2024-06-22 01:03:00,64028.9,64068.2,64028.9,64068.1,70.34,4505418.9301
2024-06-22 01:06:00,64068.1,64148.7,64068.1,64142.1,214.322,13741774.9593
2024-06-22 01:09:00,64142.1,64148.8,64116.4,64132.9,64.092,4110232.0869
2024-06-22 01:12:00,64132.9,64132.9,64100.2,64104.9,62.461,4005089.7614
2024-06-22 01:15:00,64104.9,64119.4,64070.5,64070.8,30.425,1950244.1129
2024-06-22 01:18:00,64070.8,64081.6,64070.1,64075.1,20.603,1320124.2209
2024-06-22 01:21:00,64075.1,64075.2,64044.1,64050.0,39.086,2503634.1137
2024-06-22 01:24:00,64050.0,64050.0,64031.0,64041.8,15.625,1000689.8543
2024-06-22 01:27:00,64041.8,64056.9,64041.8,64050.0,14.452,925644.5546
2024-06-22 01:30:00,64050.0,64062.8,64049.9,64062.7,16.112,1032035.8148
2024-06-22 01:33:00,64062.7,64088.3,64062.7,64081.0,88.628,5678475.5782
2024-06-22 01:36:00,64081.0,64109.1,64081.0,64109.1,11.79,755667.9933
2024-06-22 01:39:00,64109.1,64130.0,64109.0,64118.1,22.117,1418171.5184
2024-06-22 01:42:00,64118.1,64126.6,64118.1,64120.8,22.553,1446136.6921
2024-06-22 01:45:00,64120.8,64126.8,64112.3,64113.0,19.501,1250370.5908
2024-06-22 01:48:00,64113.0,64185.8,64113.0,64177.3,133.751,8579617.3024
2024-06-22 01:51:00,64177.3,64177.3,64166.7,64172.6,23.567,1512309.8763
2024-06-22 01:54:00,64172.6,64179.0,64172.4,64174.0,17.974,1153494.1669
2024-06-22 01:57:00,64174.0,64174.0,64111.2,64111.2,22.104,1417690.6561
2024-06-22 02:00:00,64111.2,64180.0,64111.2,64176.0,38.847,2492301.5483
2024-06-22 02:03:00,64176.0,64181.1,64164.9,64165.0,22.044,1414615.2956
2024-06-22 02:06:00,64165.0,64241.9,64164.9,64241.9,158.379,10171441.687
2024-06-22 02:09:00,64241.9,64281.4,64231.8,64273.9,157.598,10127636.8822
2024-06-22 02:12:00,64273.9,64280.0,64250.5,64251.9,47.081,3025373.111
2024-06-22 02:15:00,64251.9,64267.6,64210.6,64217.5,91.17,5857873.6001
2024-06-22 02:18:00,64217.5,64250.0,64217.4,64250.0,40.232,2584430.0549
2024-06-22 02:21:00,64250.0,64277.3,64247.7,64255.1,40.326,2591539.2452
2024-06-22 02:24:00,64255.1,64257.8,64196.8,64202.0,240.56,15448539.0336
2024-06-22 02:27:00,64202.0,64218.1,64201.6,64208.4,19.645,1261375.8496
2024-06-22 02:30:00,64208.4,64254.9,64205.3,64218.5,71.063,4564077.5195
2024-06-22 02:33:00,64218.5,64229.3,64187.2,64200.5,31.735,2037440.4927
2024-06-22 02:36:00,64200.5,64229.1,64200.5,64229.0,10.903,700090.9172
