timestamp,close,Signal
2025-02-24 21:00:00,93865.2,-1
2025-02-24 22:00:00,93117.2,-1
2025-02-24 22:15:00,93439.3,-1
2025-02-24 22:45:00,92353.9,-1
2025-02-24 23:00:00,92444.0,-1
2025-02-24 23:15:00,91983.2,-1
2025-02-24 23:30:00,91986.2,-1
2025-02-24 23:45:00,91478.2,-1
2025-02-25 00:00:00,90950.1,-1
2025-02-25 07:00:00,90340.9,-1
2025-02-25 07:15:00,89360.0,-1
2025-02-25 07:30:00,89025.4,-1
2025-02-25 09:15:00,88609.9,-1
2025-02-25 10:00:00,87725.5,-1
2025-02-25 10:15:00,87753.3,-1
2025-02-25 14:30:00,88025.0,-1
2025-02-25 14:45:00,87159.5,-1
2025-02-25 15:00:00,86841.2,-1
2025-02-25 15:15:00,86614.9,-1
2025-02-26 16:15:00,86819.7,-1
2025-02-26 18:15:00,85078.5,-1
2025-02-26 18:30:00,84588.9,-1
2025-02-26 20:00:00,83021.2,-1
2025-02-26 20:15:00,83367.6,-1
2025-02-28 02:00:00,82400.1,-1
2025-02-28 02:30:00,80011.4,-1
2025-02-28 04:00:00,79950.6,-1
2025-02-28 08:15:00,78830.8,-1
2025-03-04 01:30:00,83480.4,-1
2025-03-04 01:45:00,83333.2,-1
2025-03-04 02:00:00,83724.9,-1
2025-03-09 22:00:00,81493.2,-1
2025-03-09 22:15:00,81289.9,-1
2025-03-09 22:30:00,81054.6,-1
2025-03-09 22:45:00,80314.9,-1
2025-03-09 23:00:00,80518.0,-1
2025-03-10 13:30:00,82639.3,-1
2025-03-10 13:45:00,81488.0,-1
2025-03-10 14:00:00,80099.8,-1
2025-03-10 14:15:00,79821.8,-1
2025-03-10 14:45:00,79795.9,-1
2025-03-10 17:00:00,78546.7,-1
2025-03-10 18:45:00,77614.7,-1
2025-03-11 00:30:00,76774.9,-1
2025-03-13 17:00:00,80544.8,-1
2025-03-13 17:15:00,80347.0,-1
2025-03-13 17:30:00,80099.9,-1
2025-03-29 09:30:00,83465.5,-1
2025-03-29 10:00:00,83459.7,-1
2025-03-29 10:30:00,83270.4,-1
2025-03-29 10:45:00,82890.1,-1
2025-03-29 11:30:00,82007.4,-1
2025-03-29 11:45:00,82245.0,-1
2025-03-29 16:45:00,82147.9,-1
2025-03-31 00:15:00,81943.0,-1
2025-03-31 00:30:00,81314.7,-1
2025-03-31 00:45:00,81598.6,-1
2025-03-31 03:45:00,81486.7,-1
2025-04-07 04:15:00,77378.4,-1
2025-04-07 04:30:00,76746.9,-1
2025-04-07 06:15:00,75785.3,-1
2025-04-07 06:30:00,75012.0,-1
2025-04-07 06:45:00,74780.0,-1
2025-04-07 07:00:00,75046.7,-1
2025-04-09 01:00:00,75256.1,-1
2025-04-09 01:15:00,74640.6,-1
2025-04-09 11:30:00,75920.4,-1
2025-06-22 14:15:00,99502.2,-1
2025-06-22 14:30:00,99115.0,-1
2025-08-21 12:45:00,113051.4,-1
2025-08-21 16:00:00,112808.3,-1
2025-08-21 16:45:00,112334.6,-1
2025-08-21 17:00:00,112178.1,-1
2025-08-21 19:30:00,112042.4,-1
2025-08-25 00:30:00,112241.4,-1
2025-08-25 06:30:00,112024.0,-1
2025-08-25 06:45:00,111899.5,-1
2025-08-25 07:30:00,111817.5,-1
2025-08-25 07:45:00,111466.7,-1
2025-08-25 08:00:00,111599.4,-1
2025-08-25 20:00:00,110021.9,-1
2025-08-25 20:30:00,109901.4,-1
2025-08-26 00:45:00,109071.5,-1
2025-09-01 00:00:00,107917.9,-1
