timestamp,open,high,low,close,volume,turnover
2024-02-27 22:03:00,56741.2,56816.2,56741.2,56793.3,201.081,11417543.145
2024-02-27 22:06:00,56793.3,56808.3,56702.1,56719.5,372.914,21162598.9303
2024-02-27 22:09:00,56719.5,56719.5,56697.0,56702.3,120.13,6811562.0732
2024-02-27 22:12:00,56702.3,56740.0,56661.6,56737.1,118.908,6741666.7181
2024-02-27 22:15:00,56737.1,56835.2,56721.0,56802.9,197.0,11187693.612
2024-02-27 22:18:00,56802.9,56962.3,56802.9,56962.3,623.934,35502241.3568
2024-02-27 22:21:00,56962.3,57030.8,56875.6,56877.8,433.039,24664165.7805
2024-02-27 22:24:00,56877.8,56964.9,56877.8,56940.7,212.728,12107763.3716
2024-02-27 22:27:00,56940.7,56966.3,56868.9,56925.3,367.884,20940699.4164
2024-02-27 22:30:00,56925.3,56995.9,56901.5,56993.0,182.956,10419786.9847
2024-02-27 22:33:00,56993.0,57009.3,56924.9,56971.9,272.489,15521878.6162
2024-02-27 22:36:00,56971.9,57056.1,56971.9,56999.4,336.773,19201073.38
2024-02-27 22:39:00,56999.4,57009.1,56927.0,56961.3,144.626,8238186.1234
2024-02-27 22:42:00,56961.3,56985.9,56954.8,56974.8,92.251,5255897.3732
2024-02-27 22:45:00,56974.8,56985.7,56926.8,56958.2,158.036,9000276.7715
2024-02-27 22:48:00,56958.2,56958.3,56896.0,56896.0,40.683,2315904.9846
2024-02-27 22:51:00,56896.0,56939.5,56896.0,56923.6,38.93,2215976.7814
2024-02-27 22:54:00,56923.6,56993.3,56923.5,56969.7,59.601,3395899.0516
2024-02-27 22:57:00,56969.7,56969.7,56940.4,56940.4,32.559,1854672.0676
2024-02-27 23:00:00,56940.4,56993.5,56938.5,56978.3,130.87,7455573.5294
2024-02-27 23:03:00,56978.3,56994.7,56936.6,56940.1,235.845,13435393.0282
2024-02-27 23:06:00,56940.1,56968.7,56879.6,56888.1,528.697,30094344.0554
2024-02-27 23:09:00,56888.1,56947.1,56852.4,56947.1,320.712,18244996.9081
2024-02-27 23:12:00,56947.1,57004.0,56942.0,57003.9,122.169,6959895.2465
2024-02-27 23:15:00,57003.9,57033.3,56991.0,57033.2,136.845,7801965.5191
2024-02-27 23:18:00,57033.2,57126.2,57020.1,57098.1,341.573,19499759.8694
2024-02-27 23:21:00,57098.1,57135.9,57098.0,57128.9,167.073,9543048.5402
2024-02-27 23:24:00,57128.9,57148.5,57091.5,57148.5,184.568,10541837.663
2024-02-27 23:27:00,57148.5,57150.0,57088.9,57089.6,164.648,9405771.5476
2024-02-27 23:30:00,57089.6,57089.7,57032.1,57074.2,186.267,10627365.0982
2024-02-27 23:33:00,57074.2,57121.2,57064.0,57093.0,126.428,7217951.2423
2024-02-27 23:36:00,57093.0,57093.0,57046.6,57046.7,35.844,2045416.332
2024-02-27 23:39:00,57046.7,57055.9,57035.7,57048.2,52.257,2981017.3657
2024-02-27 23:42:00,57048.2,57078.8,57001.4,57033.4,167.761,9567791.2463
2024-02-27 23:45:00,57033.4,57039.6,56991.2,57003.4,97.306,5547700.308
2024-02-27 23:48:00,57003.4,57019.0,56995.9,57005.3,59.41,3386810.5745
2024-02-27 23:51:00,57005.3,57066.9,56995.0,57064.8,56.419,3217679.4824
2024-02-27 23:54:00,57064.8,57077.7,57059.3,57066.2,68.605,3915130.251
2024-02-27 23:57:00,57066.2,57112.4,57066.1,57077.9,88.45,5050119.1806
2024-02-28 00:00:00,57077.9,57119.0,57061.2,57098.9,138.1,7884682.8285
2024-02-28 00:03:00,57098.9,57107.2,57077.3,57103.5,48.002,2740475.0597
2024-02-28 00:06:00,57103.5,57120.4,57051.2,57051.2,103.269,5894049.1802
2024-02-28 00:09:00,57051.2,57051.2,56907.8,56961.8,229.877,13095655.53
2024-02-28 00:12:00,56961.8,56992.1,56930.7,56972.1,75.362,4292698.4108
2024-02-28 00:15:00,56972.1,56972.6,56902.9,56935.8,111.883,6369703.0871
2024-02-28 00:18:00,56935.8,56959.3,56928.4,56928.4,96.377,5488026.6361
2024-02-28 00:21:00,56928.4,57028.8,56928.4,56998.1,64.925,3699780.3529
2024-02-28 00:24:00,56998.1,57115.7,56981.2,57093.9,116.415,6644418.7421
2024-02-28 00:27:00,57093.9,57113.9,57049.0,57058.5,85.888,4902516.7647
2024-02-28 00:30:00,57058.5,57142.0,57058.5,57101.2,134.167,7663015.623
2024-02-28 00:33:00,57101.2,57139.0,57085.9,57135.1,59.241,3383323.7001
2024-02-28 00:36:00,57135.1,57148.0,57102.4,57111.1,70.213,4011259.6448
2024-02-28 00:39:00,57111.1,57117.3,57075.0,57076.2,63.595,3630371.9675
2024-02-28 00:42:00,57076.2,57076.2,57029.9,57029.9,80.886,4615308.1912
2024-02-28 00:45:00,57029.9,57129.3,57022.2,57081.6,214.013,12217985.9734
2024-02-28 00:48:00,57081.6,57108.2,57066.8,57075.2,39.424,2250823.0802
2024-02-28 00:51:00,57075.2,57075.2,56999.6,57016.5,306.247,17462320.9103
2024-02-28 00:54:00,57016.5,57080.2,57016.5,57060.7,32.317,1843747.4654
2024-02-28 00:57:00,57060.7,57062.1,57022.2,57059.1,47.974,2736447.4366
2024-02-28 01:00:00,57059.1,57145.0,57037.3,57142.0,91.18,5205546.9579
2024-02-28 01:03:00,57142.0,57142.0,57066.3,57095.9,74.355,4245683.6936
