open_time,open,high,low,close,volume,close_time,4h_bias,EMA50,EMA200,RSI,MACD,MACD_Signal,VWAP,FVG,atr,Higher_High,Higher_Low,Bullish_Structure,Lower_High,Lower_Low,Bearish_Structure,Signal
2024-01-03 00:45:00,45147.35,45212.57,45045.0,45135.61,364.68429,2024-01-03 00:59:59.999,0,45067.50223853499,44269.250196540335,54.288115446127065,30.06947574786318,7.839714233169478,44969.133774499234,False,190.1990967641941,False,False,False,False,False,False,0
2024-01-03 01:00:00,45135.61,45217.35,45106.56,45182.16,284.18244,2024-01-03 01:14:59.999,0,45071.99862133754,44278.33387617675,55.962698828345516,44.24127452305402,19.973567663130993,44969.954304806,False,184.5270184238946,True,True,True,False,False,False,1
2024-01-03 01:15:00,45182.16,45227.28,45150.0,45162.3,228.42126,2024-01-03 01:29:59.999,0,45075.53985187332,44287.12955900087,55.03635637599762,48.243074902646185,29.39673674296939,44973.742320592246,False,176.866517107902,True,True,True,False,False,False,1
2024-01-03 01:30:00,45162.31,45249.99,45102.72,45241.5,242.90041,2024-01-03 01:44:59.999,0,45082.04809297633,44296.62578229439,58.020635221640084,58.985126784704335,39.25953342354771,44987.228339186026,False,174.75248017162306,True,False,False,False,True,False,0
2024-01-03 01:45:00,45241.49,45329.83,45209.41,45317.58,410.67684,2024-01-03 01:59:59.999,0,45091.28463834981,44306.78453072927,60.71777810190962,72.91735037122999,50.4788057394418,45016.0517671554,True,170.8715887307927,True,True,True,False,False,False,1
2024-01-03 02:00:00,45317.58,45410.91,45274.48,45274.5,689.0726,2024-01-03 02:14:59.999,0,45098.46955449296,44316.41354037375,58.4285804075832,72.4518876874281,57.80316638877058,45074.29910445414,False,168.4114752500218,True,True,True,False,False,False,1
2024-01-03 02:15:00,45274.51,45327.42,45211.73,45322.78,348.61491,2024-01-03 02:29:59.999,0,45107.26604255206,44326.42713698695,60.237890860940304,75.35245913403196,63.65293063719104,45096.19513805587,False,164.6456555893056,False,False,False,True,True,True,0
2024-01-03 02:30:00,45322.77,45354.16,45251.77,45270.37,196.75688,2024-01-03 02:44:59.999,0,45113.66227617746,44335.81960328559,57.32136173518391,66.8821469694958,64.72933608129264,45110.806832585404,False,160.1988230472128,True,True,True,False,False,False,1
2024-01-03 02:45:00,45270.37,45285.54,45223.12,45274.57,200.37192,2024-01-03 02:59:59.999,0,45119.972382994034,44345.1604032529,57.498950720896715,59.3766990911754,62.94512375125357,45119.728061617236,False,153.2146214009832,False,False,False,True,True,True,0
2024-01-03 03:00:00,45274.57,45294.94,45196.45,45288.02,204.57499,2024-01-03 03:14:59.999,0,45126.562485621726,44354.54209078272,58.100228022693145,54.004100962905795,59.96478282180431,45118.0693728396,False,149.30571987234194,True,False,False,False,True,False,0
2024-01-03 03:15:00,45288.02,45310.0,45225.85,45233.3,196.29457,2024-01-03 03:29:59.999,0,45130.7482704993,44363.285950575926,54.70910713315096,41.16729545843555,53.69895370068139,45122.99977757021,False,144.6517398814605,True,True,True,False,False,False,0
2024-01-03 03:30:00,45233.3,45238.07,45151.91,45204.99,182.70618,2024-01-03 03:44:59.999,0,45133.65971087188,44371.66111524681,52.98602784279282,27.8660483751446,45.0879852588358,45131.44914032839,False,140.47375846135589,False,False,False,True,True,True,0
2024-01-03 03:45:00,45204.99,45262.79,45188.15,45262.69,155.79392,2024-01-03 03:59:59.999,0,45138.71972221023,44380.52707429908,56.02595174059274,26.21074306655646,38.79557119474269,45143.22660334527,False,135.77134714268757,True,True,True,False,False,False,0
2024-01-03 04:00:00,45262.7,45268.91,45187.22,45220.53,256.57084,2024-01-03 04:14:59.999,0,45141.92796839807,44388.88531236576,53.31337867894927,18.498602800202207,32.0299150632292,45154.33593837604,False,131.90839377535292,True,False,False,False,True,False,0
2024-01-03 04:15:00,45220.54,45272.16,45206.88,45206.89,189.75968,2024-01-03 04:29:59.999,0,45144.47549904913,44397.02466249148,52.428952009735625,11.225612406240543,25.09514751089965,45163.01688954263,False,127.14922279139958,True,True,True,False,False,False,0
2024-01-03 04:30:00,45206.89,45219.15,45115.59,45160.07,201.78055,2024-01-03 04:44:59.999,0,45145.08704810603,44404.617153411964,49.39959318323108,0.16234953489038162,16.784214852229898,45180.1619330434,False,125.46427830629997,False,False,False,True,True,True,0
2024-01-03 04:45:00,45160.07,45207.12,45146.84,45183.45,148.67493,2024-01-03 04:59:59.999,0,45146.59147759207,44412.36673397503,50.924495742101286,-3.4482972350451746,10.040044156471541,45193.31563665461,False,120.80825842727897,False,True,False,True,False,False,0
2024-01-03 05:00:00,45183.45,45230.0,45118.91,45229.99,229.88324,2024-01-03 05:14:59.999,0,45149.86200788258,44420.50228886085,53.902543147449485,0.6581600901627098,6.912749467701932,45207.17941913297,True,120.11409711104452,True,False,False,False,True,False,0
2024-01-03 05:15:00,45230.0,45290.88,45224.44,45289.06,184.27217,2024-01-03 05:29:59.999,0,45155.3207526715,44429.14465414581,57.433257083162175,10.900605282746255,8.242034739383374,45223.80491108895,False,116.28023303168384,True,True,True,False,False,False,1
2024-01-03 05:30:00,45289.06,45294.11,45227.78,45240.95,203.80002,2024-01-03 05:44:59.999,0,45158.678762370655,44437.2223192787,53.81778935645561,10.267770826285414,8.917280101684055,45237.54435026111,False,112.71235924370653,True,True,True,False,False,False,1
