timestamp,close,Signal
2025-04-22 12:45:00,88947.6,1
2025-04-22 13:00:00,89658.9,1
2025-04-22 13:15:00,89578.3,1
2025-04-22 13:45:00,90191.3,1
2025-04-22 14:15:00,90184.5,1
2025-04-22 14:45:00,90730.8,1
2025-04-22 15:00:00,91296.4,1
2025-04-22 15:15:00,90863.5,1
2025-04-22 21:45:00,92997.6,1
2025-04-22 23:15:00,93572.1,1
2025-04-22 23:30:00,93476.0,1
2025-04-25 12:00:00,94766.3,1
2025-04-25 14:00:00,95276.1,1
2025-04-25 14:45:00,95335.3,1
2025-04-28 10:30:00,95142.6,1
2025-04-28 11:30:00,95356.8,1
2025-04-28 19:00:00,94385.1,1
2025-04-28 19:15:00,94623.2,1
2025-04-29 11:15:00,95175.2,1
2025-05-07 00:15:00,97207.4,1
2025-05-08 02:15:00,98550.0,1
2025-05-08 02:30:00,98636.6,1
2025-05-08 03:30:00,99074.9,1
2025-05-08 03:45:00,99105.8,1
2025-05-08 04:00:00,99169.8,1
2025-05-08 08:15:00,99499.9,1
2025-05-08 08:45:00,99635.0,1
2025-05-08 15:15:00,100592.1,1
2025-05-08 15:30:00,101251.0,1
2025-05-08 20:30:00,102073.0,1
2025-05-08 20:45:00,102567.8,1
2025-05-08 21:15:00,103295.5,1
2025-05-13 16:00:00,104270.4,1
2025-05-13 16:15:00,104099.9,1
2025-05-13 19:15:00,104541.8,1
2025-05-13 19:30:00,104821.2,1
2025-05-20 01:15:00,106064.3,1
2025-05-20 01:30:00,106302.6,1
2025-05-20 01:45:00,106412.9,1
2025-05-20 02:00:00,106620.1,1
2025-05-20 02:15:00,106438.8,1
2025-05-20 17:00:00,106040.0,1
2025-05-20 19:30:00,106481.4,1
2025-05-20 19:45:00,106986.0,1
2025-05-20 20:45:00,106867.1,1
2025-05-21 05:00:00,107402.7,1
2025-05-21 06:15:00,107835.2,1
2025-05-21 14:15:00,107282.2,1
2025-05-21 14:45:00,109033.7,1
2025-05-21 15:00:00,108810.0,1
2025-05-21 16:30:00,109482.9,1
2025-05-21 23:15:00,109719.5,1
2025-07-10 16:15:00,112350.0,1
2025-07-10 16:30:00,112600.0,1
2025-07-10 17:00:00,113407.6,1
2025-07-10 17:30:00,113588.0,1
2025-07-10 21:15:00,115693.0,1
2025-07-11 05:00:00,117165.8,1
2025-07-11 05:15:00,117454.4,1
2025-07-11 05:30:00,117930.0,1
2025-07-11 05:45:00,117832.0,1
2025-07-14 02:15:00,119802.8,1
2025-07-14 02:30:00,119721.0,1
2025-07-14 03:30:00,121149.2,1
2025-07-14 04:30:00,121208.6,1
2025-07-14 04:45:00,121385.5,1
2025-07-14 05:15:00,122300.1,1
2025-07-17 21:15:00,120943.8,1
2025-08-10 03:00:00,117852.4,1
2025-08-10 03:15:00,118345.7,1
2025-08-10 04:00:00,118697.4,1
2025-08-10 08:45:00,118290.8,1
2025-08-10 15:00:00,118873.8,1
2025-08-10 23:30:00,119226.2,1
2025-08-11 00:15:00,119400.0,1
2025-08-11 01:30:00,119744.0,1
2025-08-11 01:45:00,119989.7,1
2025-08-11 02:00:00,121234.3,1
2025-08-11 02:15:00,121466.6,1
2025-08-11 03:15:00,121742.1,1
2025-08-12 20:30:00,119991.3,1
2025-08-12 20:45:00,120153.8,1
2025-08-13 10:00:00,120380.0,1
2025-08-13 10:15:00,120385.7,1
2025-08-13 13:45:00,121786.0,1
2025-08-13 14:00:00,122062.5,1
2025-08-13 22:30:00,123514.1,1
2025-08-14 00:15:00,124308.1,1
2025-08-14 00:30:00,123764.8,1
